akg k712 pro	ebay.com	Product Name
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitions- opens in a new window or tab ... Read moreabout the condition	ebay.com	Condition
AKG	ebay.com	Brand
Does Not Apply	ebay.com	MPN
Open-air type	ebay.com	Earpiece Design
does not apply	ebay.com	UPC
open-air type	ebay.com	headphones_cup_type
(1kHz) 93dB SPL / mW	ebay.com	sensitivity
10Hz~39.8kHz	ebay.com	frequency_response
200mW	ebay.com	max_input_power
62O	ebay.com	impedance
Ear pads around the ear, removable, made of velor	ebay.com	headphones_cup_type
yes	ebay.com	3.5mm_jack
Cable detachable and out pieces	ebay.com	cables_included
298g (except cable)	ebay.com	weight
Straight (OFC), about 5m / Carl code (OFC), about 5m (EK500 S),Standard plug adapter (screw fixing, gold plating),Carrying pouch	ebay.com	included_accessories
akg k712 pro	ebay.com	Product Name
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitions- opens in a new window or tab ... Read moreabout the condition	ebay.com	Condition
AKG	ebay.com	Brand
Does Not Apply	ebay.com	MPN
Open-air type	ebay.com	Earpiece Design
does not apply	ebay.com	UPC
open-air type	ebay.com	headphones_cup_type
(1kHz) 93dB SPL / mW	ebay.com	sensitivity
10Hz~39.8kHz	ebay.com	frequency_response
200mW	ebay.com	max_input_power
62O	ebay.com	impedance
Ear pads around the ear, removable, made of velor	ebay.com	headphones_cup_type
yes	ebay.com	3.5mm_jack
Cable detachable and out pieces	ebay.com	cables_included
298g (except cable)	ebay.com	weight
Straight (OFC), about 5m / Carl code (OFC), about 5m (EK500 S),Standard plug adapter (screw fixing, gold plating),Carrying pouch	ebay.com	included_accessories
akg k712 pro	ebay.com	Product Name
